time 	displacement
1.410000000000001	5.552275701055494e-12
1.420000000000001	5.611762739720734e-12
1.430000000000001	5.670889513281465e-12
1.440000000000001	5.729112005184295e-12
1.450000000000001	5.786076060852241e-12
1.460000000000001	5.841652287792059e-12
1.470000000000001	5.8959387077243096e-12
1.480000000000001	5.9492346124323416e-12
1.490000000000001	6.0019900295717864e-12
1.500000000000001	6.054739309882105e-12
1.5100000000000011	6.108028020030589e-12
1.5200000000000011	6.162342725204319e-12
1.5300000000000011	6.2183004559563645e-12
1.5400000000000011	6.276957954526025e-12
1.5500000000000012	6.339295398374418e-12
1.5600000000000012	6.4058462585900906e-12
1.5700000000000012	6.476593091119704e-12
1.5800000000000012	6.5509947011731675e-12
1.5900000000000012	6.628091810905154e-12
1.6000000000000012	6.70666609879797e-12
